data_index,model,n_folds,score,score_mean,score_std
minmax_scaled_high_var_x,Decision Tree Regressor,3.0,neg_mean_squared_error,1.168682402175506,0.4551171234263944
minmax_scaled_full_wo_co2,Decision Tree Regressor,3.0,neg_mean_squared_error,1.182577934463171,0.2849234425439662
full_components,Decision Tree Regressor,3.0,neg_mean_squared_error,1.2929485702232217,0.20660882401131747
spatial+m_comp,Decision Tree Regressor,3.0,neg_mean_squared_error,1.3021927978722159,0.27429454094240385
minmax_scaled_full_components,Decision Tree Regressor,3.0,neg_mean_squared_error,1.5606224664590769,0.5434974363814696
full_wo_co2,Decision Tree Regressor,3.0,neg_mean_squared_error,1.7336089007495101,0.6759026831610473
minmax_scaled_full,Decision Tree Regressor,3.0,neg_mean_squared_error,1.7719006093725165,0.7353401245177081
full,Decision Tree Regressor,3.0,neg_mean_squared_error,1.853674115193087,0.8691593310795186
spatial_comp+m,Decision Tree Regressor,3.0,neg_mean_squared_error,1.8847662622269201,0.5720227419552203
minmax_scaled_spatial_comp+m,Decision Tree Regressor,3.0,neg_mean_squared_error,1.9306821569111856,0.7142130516259603
